区分,曲名,アーティスト,年,根拠,曲ページ,紹介文
A 秋そのもの,楓,スピッツ,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=spitz&song=kaede,秋のさみしさにそっと。
A 秋そのもの,September,竹内まりや,,September,https://joy-relief-station.lovable.app/cover-guide?artist=mariya&song=september,
A 秋そのもの,金木犀,Ado,2020,秋,https://joy-relief-station.lovable.app/cover-guide?artist=ado&song=osmanthus,咆哮するAdoの、もうひとつの顔。秋の夕方の匂いがする、静かな名曲。
A 秋そのもの,『What is LOVE？』'25 コンサートツアー秋 ～Movin' Forward with Hope～ 羽賀朱音･横山玲奈 卒業スペシャル,モーニング娘。,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=morning-musume&song=what-is-love-25-コンサートツアー秋-movin-forward-with-hop,
A 秋そのもの,秋桜,山口百恵,1977,秋,https://joy-relief-station.lovable.app/cover-guide?artist=momoe&song=cosmos,母への手紙。
A 秋そのもの,秋櫻(야마구치 모모에 코스모스),山口百恵,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=momoe&song=秋櫻,
A 秋そのもの,春夏秋冬 泉谷しげる・小田和正・桑田佳祐・忌野清志郎,忌野清志郎 / RCサクセション / ザ・タイマーズ,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=rc-succession&song=春夏秋冬-泉谷しけ-る-小田和正-桑田佳祐-忌野清志郎,
A 秋そのもの,November Rain,Guns N' Roses,1991,November,https://joy-relief-station.lovable.app/cover-guide?artist=guns&song=november-rain,長い夜のバラード。
A 秋そのもの,September,"Earth, Wind & Fire",1978,September,https://joy-relief-station.lovable.app/cover-guide?artist=earth-wind-fire&song=september,作詞のアリー・ウィリスとモーリス・ホワイトが、1曲に丸々1ヶ月かけて言葉を練り上げた曲。ボーカルのフィリップ・ベイリーは、自分たちの最高傑作の一つに数えている。
A 秋そのもの,"""It Might As Well Rain Until September""",Carole King,,September,https://joy-relief-station.lovable.app/cover-guide?artist=carole-king&song=it-might-as-well-rain-until-september,
A 秋そのもの,Autumn Leaves - Remastered 1987,Nat King Cole,,Autumn,https://joy-relief-station.lovable.app/cover-guide?artist=nat-king-cole&song=autumn-leaves-remastered-1987,
A 秋そのもの,ROLLY @ duo MUSIC EXCHANGE【秋の味覚といえば？】,ROLLY（ローリー寺西）,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=rolly&song=rolly-duo-music-exchange-秋の味覚といえは,
A 秋そのもの,・岡千秋 / 浪花恋しぐれ [ライブ映像],都はるみ,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=miyakoharumi&song=岡千秋-浪花恋しく-れ-ライフ-映像,
A 秋そのもの,浪花恋しぐれ - (Harumi Miyako) × 岡千秋(Chiaki Oka)【1983年】 #浪花恋しぐれ # #岡千秋 #nodownload,都はるみ,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=miyakoharumi&song=浪花恋しく-れ-harumi-miyako-岡千秋-chiaki-oka-1983年-浪花恋しく,
A 秋そのもの,風をあつめて,はっぴいえんど,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=happiiendo&song=風をあつめて,秋の街を、少しだけ宙に浮いて歩く。
A 秋そのもの,秋桜,May J.,,秋,https://joy-relief-station.lovable.app/cover-guide?artist=may-j&song=秋桜,母を思う秋の歌が、今の声で咲き直す。
A 秋そのもの,赤黄色の金木犀,フジファブリック,,金木犀,https://joy-relief-station.lovable.app/cover-guide?artist=fujifabric&song=赤黄色の金木犀,金木犀の匂いだけで、昔の夕方に戻される。
A 秋そのもの,"""California Dreamin'"" (September 24, 1967) On The Ed Sullivan Show",The Mamas & The Papas,,September,https://joy-relief-station.lovable.app/cover-guide?artist=the-mamas-and-the-papas&song=california-dreamin-september-24-1967-on-the-ed-s,
A 秋そのもの,November Rain,Guns N’ Roses,1992,秋,https://joy-relief-station.lovable.app/cover-guide?artist=guns-n-roses&song=november-rain,秋の終わりを、ロックが映画みたいに降らせる。
